1,New York,London,2024-03-15,08:00,Economica,500.00,150
125,New York,Paris,2024-03-15,16:30,Economica,1300.00,50
2,London,Paris,2024-03-15,10:30,Ejecutiva,800.00,100
3,Paris,Tokyo,2024-03-16,15:45,Primera Clase,1500.00,50
4,Tokyo,New York,2024-03-17,12:00,Economica,700.00,200
5,New York,Los Angeles,2024-03-18,14:30,Economica,400.00,100
6,London,New York,2024-04-10,08:00,Economica,500.00,150
7,London,Tokyo,2024-04-12,09:15,Ejecutiva,850.00,120
8,Tokyo,Paris,2024-04-14,14:30,Primera Clase,1600.00,60
9,Paris,New York,2024-04-16,11:45,Economica,720.00,180
10,New York,London,2024-04-18,13:30,Economica,450.00,120
11,Los Angeles,New York,2024-05-02,16:45,Ejecutiva,900.00,80
12,New York,Paris,2024-05-05,10:00,Primera Clase,1400.00,70
13,Paris,London,2024-05-08,12:15,Economica,480.00,100
14,London,Tokyo,2024-05-12,08:30,Economica,520.00,140
15,Tokyo,Los Angeles,2024-05-15,11:00,Economica,420.00,90
16,Los Angeles,New York,2024-05-18,14:15,Ejecutiva,880.00,60
17,New York,Paris,2024-05-20,16:30,Primera Clase,1300.00,50
18,Paris,London,2024-05-22,18:45,Economica,490.00,80
19,London,Tokyo,2024-05-25,21:00,Economica,540.00,120
20,Tokyo,New York,2024-05-28,23:15,Economica,400.00,150
21,Los Angeles,Paris,2024-06-02,05:30,Ejecutiva,870.00,70
22,Paris,London,2024-06-05,07:45,Primera Clase,1200.00,40
23,London,New York,2024-06-08,10:00,Economica,480.00,100
24,New York,Los Angeles,2024-06-11,12:15,Economica,420.00,130
25,Los Angeles,Tokyo,2024-06-14,14:30,Economica,550.00,110
26,Tokyo,Paris,2024-06-17,16:45,Ejecutiva,920.00,60
27,Paris,London,2024-06-20,19:00,Primera Clase,1100.00,30
28,London,New York,2024-06-23,21:15,Economica,490.00,90
29,New York,Los Angeles,2024-06-26,23:30,Economica,400.00,120
30,Los Angeles,Tokyo,2024-06-29,01:45,Economica,580.00,100
31,Tokyo,London,2024-07-02,04:00,Economica,520.00,80
32,London,Paris,2024-07-05,06:15,Ejecutiva,950.00,50
33,Paris,New York,2024-07-08,08:30,Primera Clase,1400.00,40
34,New York,London,2024-07-11,10:45,Economica,480.00,70
35,Los Angeles,New York,2024-07-14,13:00,Economica,400.00,90
36,New York,Paris,2024-07-17,15:15,Primera Clase,1300.00,30
37,Paris,London,2024-07-20,17:30,Economica,520.00,60
38,London,Tokyo,2024-07-23,19:45,Economica,550.00,90
39,Tokyo,New York,2024-07-26,22:00,Economica,400.00,120
40,Los Angeles,Paris,2024-07-29,00:15,Economica,400.00,80
41,Paris,London,2024-08-01,02:30,Primera Clase,1200.00,100
42,London,New York,2024-08-04,04:45,Economica,490.00,150
43,New York,Los Angeles,2024-08-07,07:00,Economica,420.00,180
44,Los Angeles,Tokyo,2024-08-10,09:15,Economica,550.00,200
45,Tokyo,Paris,2024-08-13,11:30,Ejecutiva,920.00,220
46,Paris,London,2024-08-16,13:45,Primera Clase,1100.00,240
47,London,New York,2024-08-19,16:00,Economica,480.00,260
48,New York,Los Angeles,2024-08-22,18:15,Economica,400.00,280
49,Los Angeles,Tokyo,2024-08-25,20:30,Economica,580.00,300
50,Tokyo,London,2024-08-28,22:45,Economica,520.00,320
